============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.7c87] cloned to [<.9cb6] at [12, 3] -- <0>
[@.9cb6] cloned to [@.f9d5] at [3, 4] -- <0>
Fortress randomly populated with 2 -- <0>
[<.9cb6] moved to [12, 4] -- <2>
[<.9cb6] moved to [12, 5] -- <3>
[+. 7da] cloned to [+. 39b] at [3, 4] -- <3>
[@.f9d5] transformed into [+. 39b] at [3, 4] -- <3>
[@.f9d5] died -- <3>
[<.9cb6] moved to [12, 6] -- <4>
[<.9cb6] moved to [12, 5] -- <6>
[<.9cb6] moved to [11, 5] -- <7>
[<.9cb6] moved to [11, 4] -- <8>
[<.7c87] cloned to [<.f9d5] at [11, 5] -- <9>
[<.9cb6] added [<.f9d5] at [11, 5] -- <9>
[<.7c87] cloned to [<.ba70] at [11, 5] -- <10>
[<.9cb6] added [<.ba70] at [11, 5] -- <10>
[<.7c87] cloned to [<.b097] at [11, 5] -- <11>
[<.9cb6] added [<.b097] at [11, 5] -- <11>
[<.f9d5] moved to [11, 6] -- <11>
[<.7c87] cloned to [<.e027] at [11, 5] -- <12>
[<.9cb6] added [<.e027] at [11, 5] -- <12>
[<.ba70] moved to [11, 6] -- <12>
[<.7c87] cloned to [<.1ea3] at [11, 3] -- <13>
[<.9cb6] added [<.1ea3] at [11, 3] -- <13>
[+. 39b] died -- <13>
[<.ba70] moved to [11, 5] -- <13>
[<.b097] moved to [10, 5] -- <13>
[<.7c87] cloned to [<. 39b] at [11, 3] -- <14>
[<.9cb6] added [<. 39b] at [11, 3] -- <14>
[<.ba70] moved to [11, 6] -- <14>
[<.b097] moved to [10, 4] -- <14>
[<.e027] moved to [10, 5] -- <14>
[<.7c87] cloned to [<.ff4e] at [11, 3] -- <15>
[<.9cb6] added [<.ff4e] at [11, 3] -- <15>
[<.ba70] moved to [11, 5] -- <15>
[<.b097] moved to [9, 4] -- <15>
[<.e027] moved to [10, 4] -- <15>
[<.1ea3] moved to [11, 4] -- <15>
[<.7c87] cloned to [<. b5e] at [10, 4] -- <16>
[<.9cb6] added [<. b5e] at [10, 4] -- <16>
[<.f9d5] moved to [11, 5] -- <16>
[<.ba70] moved to [10, 5] -- <16>
[<.b097] moved to [9, 3] -- <16>
[<.e027] moved to [10, 5] -- <16>
[<.1ea3] moved to [10, 4] -- <16>
[<. 39b] moved to [12, 3] -- <16>
[<.7c87] cloned to [<.8848] at [11, 3] -- <17>
[<.9cb6] added [<.8848] at [11, 3] -- <17>
[<.f9d5] moved to [11, 4] -- <17>
[<.ba70] moved to [9, 5] -- <17>
[<.b097] moved to [9, 2] -- <17>
[<.e027] moved to [10, 6] -- <17>
[<.1ea3] moved to [9, 4] -- <17>
[<. 39b] moved to [13, 3] -- <17>
[<.ff4e] moved to [11, 2] -- <17>
[<.7c87] cloned to [<.2f7c] at [12, 4] -- <18>
[<.9cb6] added [<.2f7c] at [12, 4] -- <18>
