============    FORTRESS SEED [652857]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
>>> TIME: 2023-05-23 18:24:32.200743 <<< -- <0>
[L.4f69] moved to [7, 2] -- <3>
[L.4f69] moved to [6, 2] -- <5>
[X.3c0c] moved to [1, 2] -- <5>
[X.8ff3] moved to [12, 6] -- <5>
[L.4f69] moved to [6, 3] -- <7>
[L.4f69] moved to [6, 2] -- <9>
[X.7ea7] moved to [12, 1] -- <9>
[X.3c0c] moved to [1, 1] -- <9>
[X.a7fc] moved to [1, 5] -- <9>
[X.8ff3] moved to [13, 6] -- <9>
[L.4f69] moved to [6, 3] -- <11>
[$. a4e] cloned to [$. a4e] at [11, 1] -- <11>
[X.7ea7] added [$. a4e] at [11, 1] -- <11>
[L.4f69] moved to [6, 2] -- <13>
[X.7ea7] moved to [11, 1] -- <13>
[X.a7fc] moved to [1, 4] -- <13>
[L.4f69] moved to [6, 3] -- <15>
[L.4f69] moved to [5, 3] -- <17>
[X.7ea7] moved to [10, 1] -- <17>
[X.8ff3] moved to [13, 5] -- <17>
[L.4f69] moved to [5, 4] -- <19>
[L.4f69] moved to [5, 3] -- <21>
[$. a4e] cloned to [$.6800] at [1, 5] -- <21>
[X.a7fc] added [$.6800] at [1, 5] -- <21>
[$. a4e] cloned to [$.76da] at [12, 5] -- <21>
[X.8ff3] added [$.76da] at [12, 5] -- <21>
[L.4f69] moved to [5, 4] -- <23>
[L.4f69] moved to [5, 3] -- <25>
[X.7ea7] moved to [9, 1] -- <25>
[X.a7fc] moved to [1, 3] -- <25>
[L.4f69] moved to [5, 4] -- <27>
[L.4f69] moved to [4, 4] -- <29>
[X.7ea7] moved to [8, 1] -- <29>
[X.8ff3] moved to [13, 4] -- <29>
[L.4f69] moved to [4, 5] -- <31>
[$. a4e] cloned to [$. 477] at [2, 1] -- <31>
[X.3c0c] added [$. 477] at [2, 1] -- <31>
[$. a4e] cloned to [$.2934] at [1, 2] -- <31>
[X.a7fc] added [$.2934] at [1, 2] -- <31>
[$. a4e] cloned to [$.7767] at [12, 4] -- <31>
[X.8ff3] added [$.7767] at [12, 4] -- <31>
[L.4f69] moved to [4, 4] -- <33>
[X.3c0c] moved to [2, 1] -- <33>
[X.a7fc] moved to [1, 4] -- <33>
[X.8ff3] moved to [12, 4] -- <33>
[L.4f69] moved to [3, 4] -- <35>
[L.4f69] moved to [3, 3] -- <37>
[X.7ea7] moved to [7, 1] -- <37>
[X.a7fc] moved to [1, 5] -- <37>
[X.8ff3] moved to [12, 3] -- <37>
[L.4f69] moved to [4, 3] -- <39>
[L.4f69] moved to [4, 2] -- <41>
[$. a4e] cloned to [$.87f6] at [7, 2] -- <41>
[X.7ea7] added [$.87f6] at [7, 2] -- <41>
[$. a4e] cloned to [$.330b] at [1, 4] -- <41>
[X.a7fc] added [$.330b] at [1, 4] -- <41>
[$. a4e] cloned to [$.34a5] at [12, 2] -- <41>
[X.8ff3] added [$.34a5] at [12, 2] -- <41>
[L.4f69] moved to [5, 2] -- <43>
[L.4f69] moved to [5, 3] -- <45>
[X.7ea7] moved to [6, 1] -- <45>
[X.3c0c] moved to [1, 1] -- <45>
[X.a7fc] moved to [1, 4] -- <45>
[X.8ff3] moved to [11, 3] -- <45>
[L.4f69] moved to [5, 2] -- <47>
[L.4f69] moved to [5, 3] -- <49>
[X.3c0c] moved to [2, 1] -- <49>
[X.a7fc] moved to [1, 3] -- <49>
[X.8ff3] moved to [11, 4] -- <49>
[L.4f69] moved to [5, 2] -- <51>
[$. a4e] cloned to [$.cffa] at [6, 2] -- <51>
[X.7ea7] added [$.cffa] at [6, 2] -- <51>
[$. a4e] cloned to [$.4085] at [3, 1] -- <51>
[X.3c0c] added [$.4085] at [3, 1] -- <51>
[$. a4e] cloned to [$.f8e3] at [10, 4] -- <51>
[X.8ff3] added [$.f8e3] at [10, 4] -- <51>
[L.4f69] moved to [5, 3] -- <53>
[X.7ea7] moved to [5, 1] -- <53>
[X.3c0c] moved to [1, 1] -- <53>
[X.a7fc] moved to [1, 2] -- <53>
[X.8ff3] moved to [10, 4] -- <53>
[L.4f69] moved to [5, 2] -- <55>
[L.4f69] moved to [5, 3] -- <57>
[X.3c0c] moved to [2, 1] -- <57>
[X.a7fc] moved to [1, 1] -- <57>
[X.8ff3] moved to [10, 5] -- <57>
[L.4f69] moved to [5, 2] -- <59>
[L.4f69] moved to [5, 3] -- <61>
[$. a4e] cloned to [$.d05e] at [4, 1] -- <61>
[X.7ea7] added [$.d05e] at [4, 1] -- <61>
[$. a4e] cloned to [$.dbb1] at [2, 2] -- <61>
[X.3c0c] added [$.dbb1] at [2, 2] -- <61>
[$. a4e] cloned to [$.af58] at [9, 5] -- <61>
[X.8ff3] added [$.af58] at [9, 5] -- <61>
[L.4f69] moved to [5, 4] -- <63>
[L.4f69] moved to [4, 4] -- <65>
[X.7ea7] moved to [4, 1] -- <65>
[X.8ff3] moved to [10, 4] -- <65>
[L.4f69] moved to [4, 5] -- <67>
[L.4f69] moved to [4, 4] -- <69>
[X.7ea7] moved to [5, 1] -- <69>
[X.a7fc] moved to [1, 2] -- <69>
[X.8ff3] moved to [10, 3] -- <69>
==== SIMULATION ENDED: Code Interruption ====


